measurement,variant,repeat,warmup,n,ns_per_record
M1_write,A_chain_sha256,0,True,200000,421.097
M1_write,A_chain_sha256,1,False,200000,428.502
M1_write,A_chain_sha256,2,False,200000,414.809
M1_write,A_chain_sha256,3,False,200000,457.947
M1_write,A_chain_sha256,4,False,200000,434.144
M1_write,A_chain_sha256,5,False,200000,429.006
M1_write,B_cose_es256,0,True,20000,811478.390
M1_write,B_cose_es256,1,False,20000,803597.375
M1_write,B_cose_es256,2,False,20000,810029.900
M1_write,B_cose_es256,3,False,20000,812642.735
M1_write,B_cose_es256,4,False,20000,824279.240
M1_write,B_cose_es256,5,False,20000,827595.595
M1_write,B_cose_eddsa,0,True,20000,77353.520
M1_write,B_cose_eddsa,1,False,20000,79326.375
M1_write,B_cose_eddsa,2,False,20000,79735.770
M1_write,B_cose_eddsa,3,False,20000,77670.490
M1_write,B_cose_eddsa,4,False,20000,78964.185
M1_write,B_cose_eddsa,5,False,20000,77844.465
M2_verify,A_chain_sha256,0,True,200000,452.317
M2_verify,A_chain_sha256,1,False,200000,418.996
M2_verify,A_chain_sha256,2,False,200000,424.474
M2_verify,A_chain_sha256,3,False,200000,424.456
M2_verify,A_chain_sha256,4,False,200000,428.168
M2_verify,A_chain_sha256,5,False,200000,432.052
M2_verify,B_cose_es256,0,True,20000,1510207.365
M2_verify,B_cose_es256,1,False,20000,1515875.155
M2_verify,B_cose_es256,2,False,20000,1502079.050
M2_verify,B_cose_es256,3,False,20000,1517402.525
M2_verify,B_cose_es256,4,False,20000,1502144.075
M2_verify,B_cose_es256,5,False,20000,1527270.055
M2_verify,B_cose_eddsa,0,True,20000,91999.785
M2_verify,B_cose_eddsa,1,False,20000,88262.095
M2_verify,B_cose_eddsa,2,False,20000,88206.220
M2_verify,B_cose_eddsa,3,False,20000,91566.850
M2_verify,B_cose_eddsa,4,False,20000,87818.880
M2_verify,B_cose_eddsa,5,False,20000,87860.070
