arm,idx,warmup,wall_s,tokens,tokens_per_s,peak_rss_mb,wss_mb
on,0,True,38.1461924000032,1225,32.1132968437473,1814.7,1757.0
off,0,True,37.20221239999955,1225,32.92814918717078,1814.6,1757.0
on,1,False,38.85106090000045,1225,31.530670504804306,1814.6,1756.9
off,1,False,37.76088210000307,1225,32.440979444171944,1814.5,1756.9
on,2,False,37.64732549999462,1225,32.538832008137604,1815.0,1757.4
off,2,False,37.64049140000134,1225,32.54473983833156,1814.7,1757.0
on,3,False,37.893754400000034,1225,32.32722699020815,1814.6,1757.0
off,3,False,37.53036810000049,1225,32.64023408286219,1814.7,1757.0
on,4,False,37.848642400000244,1225,32.365757985549095,1814.5,1756.9
off,4,False,37.848229899995204,1225,32.36611073323023,1814.5,1756.8
on,5,False,37.76430219999747,1225,32.438041447515005,1814.8,1757.2
off,5,False,37.59970410000096,1225,32.58004362858719,1814.5,1756.8
on,6,False,37.913592599994445,1225,32.31031184315093,1814.9,1757.2
off,6,False,37.48478829999658,1225,32.679923124978984,1814.9,1757.2
on,7,False,37.79762359999586,1225,32.40944491547702,1814.5,1756.9
off,7,False,38.48607849999826,1225,31.829691351901584,1814.2,1756.5
